name,id,team,domain,critical,high,medium,low,critical/high,ticket
rapid7/exposure-analytics-dashboard-service(master):pom.xml,b7f87d07-c8c7-4a8f-ac55-498406069a0d,Mindseekers,Reporting,2,0,6,2,2,
rapid7/exposure-analytics-lambda(master):ea-lambda-goals-email/pom.xml,e2561413-b5fb-48e7-8aeb-47ec6c0bf650,Mindseekers,Case Management,0,63,8,1,63,
rapid7/exposure-analytics-lambda(master):ea-lambda-remediation-project-email/pom.xml,e0addf10-6f0b-458d-96b1-855833c70741,Mindseekers,Case Management,0,2,3,1,2,
rapid7/exposure-analytics-lambda(master):ea-lambda-remediation-ticketing-status-update/pom.xml,d720a512-a677-4728-9539-d0909b6a75cb,Mindseekers,Case Management,0,2,3,1,2,
rapid7/goals-alert-lambda(master):pom.xml,00374b38-769c-4b0c-9af7-2435178b94e3,Mindseekers,Case Management,0,0,0,0,0,
rapid7/goals-domain-model(master):pom.xml,4762f187-3113-4c8c-88a4-86d8b26f1dc3,Mindseekers,Case Management,0,0,1,1,0,
rapid7/goals-domain(master):pom.xml,ce4be9f8-9ec7-4a0e-b37d-ba8d2b25b8d6,Mindseekers,Case Management,1,1,3,2,2,
rapid7/goals-processor-service(master):pom.xml,00fec0b1-f819-4bd5-94f3-f622dda6aa98,Mindseekers,Case Management,1,2,7,2,3,
rapid7/goals-provisioning-service(master):pom.xml,2ce5b559-65e8-4510-a1ec-3db93fe62114,Mindseekers,Case Management,1,0,6,2,1,
rapid7/goals-scheduler-service-api(master):pom.xml,709afdd2-20ff-45ea-9650-db8eae64a5c8,Mindseekers,Case Management,0,1,2,1,1,
rapid7/goals-scheduler-service(master):pom.xml,c29b3dd0-672e-4da5-8318-5ea219545725,Mindseekers,Case Management,1,1,7,2,2,
rapid7/goals-support-service(master):pom.xml,5af9f493-52b6-46ee-b59b-586d4f2e3c94,Mindseekers,Case Management,1,0,6,2,1,
rapid7/goals-ui-api(master):pom.xml,0b7039ca-e90c-4f36-9d02-b4510470e713,Mindseekers,Case Management,0,1,2,1,1,
rapid7/goals-ui(master):pom.xml,fddc7c72-e863-42f3-bdbf-9041b4afaf5b,Mindseekers,Case Management,1,1,6,2,2,
rapid7/query-service-api(master):pom.xml,f3d8551a-6b77-45a1-aeb6-6c7ca75e16a8,Mindseekers,Reporting,0,4,1,1,4,
rapid7/query-service(master):pom.xml,4dba06cf-eba6-4f23-89db-4feb84716d2b,Mindseekers,Reporting,1,1,6,2,2,
rapid7/remediation-blob-processor-service(master):pom.xml,646a8805-ce6f-409a-b613-94bb531329db,Mindseekers,Case Management,8,17,25,14,25,
rapid7/remediation-document(master):pom.xml,052b8d9c-245a-4fee-a312-3b5dc5042148,Mindseekers,Case Management,0,47,12,4,47,
rapid7/remediation-domain(master):pom.xml,71e0ac01-b24b-40ce-ac00-c2f80e41db72,Mindseekers,Case Management,6,73,39,10,79,
rapid7/remediation-integration(master):pom.xml,15167095-a259-4b51-b748-912feb10b7e1,Mindseekers,Case Management,11,76,43,11,87,
rapid7/remediation-management-app(master):pom.xml,4ff69d26-cd8b-4e22-89b6-d86107c56877,Mindseekers,Case Management,10,23,32,19,33,
rapid7/remediation-project-integrator-mc(master):pom.xml,f8a151bc-7c06-4ed0-97d2-9c485c9932d4,Mindseekers,Case Management,9,23,31,19,32,
rapid7/remediation-project-solution-integrator(master):pom.xml,8c077994-cd10-4d3e-99d3-751abc2c30f2,Mindseekers,Case Management,9,23,32,19,32,
rapid7/remediation-solution-blob-processor-service(master):pom.xml,17ade668-9bc7-41a6-bff4-1247ef7381bb,Mindseekers,Case Management,9,23,32,19,32,
rapid7/remediation-solution-msg-aggregator(master):pom.xml,fb77d9d2-9573-4f37-a229-6b67665086dc,Mindseekers,Case Management,9,24,34,19,33,
rapid7/remediation-solution-other-blob-app(master):pom.xml,8ef016cc-cceb-4da6-8ade-a355d84008fb,Mindseekers,Case Management,9,23,32,19,32,
rapid7/remediation-solution-unchanged-blob-app(master):pom.xml,57091e9d-bbad-450e-a210-730fedb41475,Mindseekers,Case Management,9,23,32,19,32,
rapid7/remediation-ticketing-domain(master):pom.xml,1a6004fb-5dcb-46ed-8cc7-477d4ef680e7,Mindseekers,Case Management,0,65,15,5,65,
rapid7/remediation-ui(master):pom.xml,387465da-c4ee-4da7-bc7a-b9f4242953d9,Mindseekers,Case Management,10,23,37,19,33,
